"","logFC","logCPM","LR","PValue","FDR"
"AT3G53620",-0.5356159,4.858337,1.198127,0.2736964,0.7409629
"AT3G04080",-0.5112113,4.457704,1.197631,0.2737956,0.7410612
"AT1G76520",0.4213882,5.728328,1.19736,0.27385,0.7410612
"AT1G22882",0.5018937,4.769835,1.196597,0.2740028,0.7411244
"AT1G10270",-0.5997725,4.54592,1.196226,0.2740772,0.7411244
"AT5G04420",-0.5305224,4.275003,1.19617,0.2740886,0.7411244
"AT1G10522",0.807583,3.862598,1.196057,0.2741112,0.7411244
"AT3G02320",-0.7611708,3.336426,1.19578,0.2741667,0.7411244
"AT1G10095",-1.026466,9.564548,1.195323,0.2742585,0.7411479
"AT1G56550",-0.9376821,3.124091,1.195084,0.2743064,0.7411479
"AT5G49580",-0.7218988,3.47494,1.194118,0.2745005,0.7411479
"AT4G17840",0.4443182,5.833262,1.193877,0.2745489,0.7411479
"AT5G55310",-0.4254234,5.617334,1.193798,0.2745649,0.7411479
"AT1G01960",-0.450665,5.633961,1.193745,0.2745755,0.7411479
"AT3G63250",0.5449792,4.263088,1.193692,0.2745861,0.7411479
"AT2G43750",0.4460247,5.827916,1.192879,0.2747497,0.7414309
"AT4G19700",-0.5124538,4.940173,1.19019,0.2752912,0.7426874
"AT1G08720",-0.4776746,4.713365,1.189984,0.2753329,0.7426874
"AT1G13820",0.5432802,4.354451,1.188675,0.2755971,0.7430746
"AT3G49601",0.5067411,8.396347,1.188468,0.2756389,0.7430746
"AT3G51790",-0.5146167,4.590699,1.188398,0.2756529,0.7430746
"AT5G04920",-0.4087287,5.733931,1.187227,0.2758895,0.7435537
"AT5G18500",0.437429,5.072072,1.186279,0.2760815,0.7439122
"AT2G20790",-0.507985,4.747153,1.185988,0.2761403,0.7439122
"AT1G21380",-0.4135129,6.391417,1.185193,0.2763013,0.7441873
"AT1G63090",0.5812912,5.463637,1.184129,0.276517,0.7445516
"AT5G37380",-0.5380394,4.931145,1.183944,0.2765545,0.7445516
"AT1G23490",-0.4038528,7.727213,1.183178,0.2767099,0.7447286
"AT3G25860",0.4578354,4.919001,1.182605,0.2768262,0.7447286
"AT1G10910",0.5020242,4.977621,1.182499,0.2768478,0.7447286
"AT5G58510",-0.5118984,4.426154,1.182233,0.276902,0.7447286
"AT5G64440",-0.4270959,5.34753,1.18177,0.2769959,0.7447286
"AT1G56145",-0.8189392,3.240613,1.181765,0.2769969,0.7447286
"AT4G05120",-0.5335452,4.181074,1.181502,0.2770505,0.7447286
"AT1G15000",0.8036275,3.313212,1.181298,0.2770919,0.7447286
"AT1G19770",-0.4174669,6.644167,1.180059,0.2773441,0.7452479
"AT5G07970",-0.6893326,3.602175,1.179417,0.2774747,0.7454403
"AT4G26270",0.5149934,4.455002,1.178331,0.277696,0.7457048
"AT1G75500",0.4286092,7.021159,1.177672,0.2778305,0.7457048
"AT4G16190",0.4596888,9.27036,1.177426,0.2778807,0.7457048
"AT4G13940",-0.4151474,8.557846,1.177352,0.2778958,0.7457048
"AT3G44450",0.5884903,4.178135,1.176884,0.2779912,0.7457048
"AT5G19320",-0.4507166,4.870959,1.17676,0.2780166,0.7457048
"AT2G40750",0.4480574,5.939333,1.176657,0.2780376,0.7457048
"AT1G68670",-0.5957419,4.88347,1.17656,0.2780575,0.7457048
"AT2G23430",0.4682941,5.901469,1.17633,0.2781044,0.7457048
"AT2G45540",-0.45656,5.851613,1.175981,0.2781757,0.7457377
"AT1G27650",0.4237218,6.374937,1.175011,0.2783739,0.7461106
